,HSCode,Year,Commodity,Vol (Imports),Gowth
216,27,2019,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",209.16,NA
217,28,2019,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",662.26,NA
218,29,2019,ORGANIC CHEMICALS,8974.27,NA
219,30,2019,PHARMACEUTICAL PRODUCTS,207.56,NA
220,31,2019,FERTILISERS.,1551.23,NA
221,32,2019,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",578.64,NA
222,33,2019,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",154.8,NA
223,34,2019,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",113.48,NA
224,35,2019,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,150.06,NA
225,36,2019,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.0,NA
226,37,2019,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,35.69,NA
227,38,2019,MISCELLANEOUS CHEMICAL PRODUCTS.,1386.25,NA
228,39,2019,PLASTIC AND ARTICLES THEREOF.,2530.54,NA
229,40,2019,RUBBER AND ARTICLES THEREOF.,194.25,NA
230,41,2019,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,22.02,NA
231,42,2019,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",99.26,NA
232,43,2019,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.97,NA
233,44,2019,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,102.29,NA
234,45,2019,CORK AND ARTICLES OF CORK.,0.23,NA
235,46,2019,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2.3,NA
236,47,2019,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,20.91,NA
237,48,2019,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",339.42,NA
238,49,2019,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",13.59,NA
239,50,2019,SILK,43.35,NA
240,51,2019,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",22.34,NA
241,52,2019,COTTON.,67.95,NA
242,53,2019,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,51.9,NA
243,54,2019,MAN-MADE FILAMENTS.,588.47,NA
244,55,2019,MAN-MADE STAPLE FIBRES.,380.78,NA
245,56,2019,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",110.31,NA
246,57,2019,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,15.63,NA
247,58,2019,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,65.95,NA
248,59,2019,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",306.95,NA
249,60,2019,KNITTED OR CROCHETED FABRICS.,361.39,NA
250,61,2019,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",138.96,NA
251,62,2019,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",158.79,NA
252,63,2019,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,228.28,NA
253,64,2019,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",178.82,NA
254,65,2019,HEADGEAR AND PARTS THEREOF.,18.04,NA
255,66,2019,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",20.51,NA
256,67,2019,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,10.87,NA
257,68,2019,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",377.0,NA
258,69,2019,CERAMIC PRODUCTS.,286.54,NA
259,70,2019,GLASS AND GLASSWARE.,470.95,NA
260,71,2019,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",110.9,NA
261,72,2019,IRON AND STEEL,895.4,NA
262,73,2019,ARTICLES OF IRON OR STEEL,1317.93,NA
263,74,2019,COPPER AND ARTICLES THEREOF.,167.59,NA
264,75,2019,NICKEL AND ARTICLES THEREOF.,51.85,NA
265,76,2019,ALUMINIUM AND ARTICLES THEREOF.,735.01,NA
266,78,2019,LEAD AND ARTICLES THEREOF.,1.4,NA
267,79,2019,ZINC AND ARTICLES THEREOF.,5.66,NA
268,80,2019,TIN AND ARTICLES THEREOF.,3.16,NA
269,81,2019,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,173.69,NA
270,82,2019,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",382.84,NA
271,83,2019,MISCELLANEOUS ARTICLES OF BASE METAL.,326.76,NA
272,84,2019,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",13987.6,NA
273,85,2019,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",20328.55,NA
274,86,2019,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",180.48,NA
275,87,2019,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",1375.69,NA
276,88,2019,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",3.66,NA
277,89,2019,"SHIPS, BOATS AND FLOATING STRUCTURES.",83.27,NA
278,90,2019,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",1732.53,NA
279,91,2019,CLOCKS AND WATCHES AND PARTS THEREOF.,30.72,NA
280,92,2019,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,30.21,NA
281,93,2019,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.05,NA
282,94,2019,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",589.95,NA
283,95,2019,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",289.72,NA
284,96,2019,MISCELLANEOUS MANUFACTURED ARTICLES.,311.15,NA
285,97,2019,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,4.69,NA
286,98,2019,PROJECT GOODS; SOME SPECIAL USES.,350.06,NA
287,99,2019,MISCELLANEOUS GOODS.,0.08,NA
288,01,2021,LIVE ANIMALS.,0.0,-98.73
289,03,2021,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",11.49,687.38
290,05,2021,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",7.94,68.1
291,06,2021,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,8.95,152.42
292,07,2021,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,26.34,-46.16
293,08,2021,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,10.14,-1.8
294,09,2021,"COFFEE, TEA, MATE AND SPICES.",14.26,-4.89
295,11,2021,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,19.32,71.08
296,12,2021,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",8.34,0.7
297,13,2021,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",29.01,-2.38
298,14,2021,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,55.86,-17.03
299,15,2021,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,14.76,52.85
300,16,2021,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.75,-31.6
301,17,2021,SUGARS AND SUGAR CONFECTIONERY.,7.27,86.98
302,18,2021,COCOA AND COCOA PREPARATIONS.,1.22,66.88
303,19,2021,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.91,82.75
304,20,2021,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",26.78,8.38
305,21,2021,MISCELLANEOUS EDIBLE PREPARATIONS.,32.8,19.61
306,22,2021,"BEVERAGES, SPIRITS AND VINEGAR.",2.12,33.36
307,23,2021,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,77.48,24.2
308,24,2021,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,4.15,-28.26
309,25,2021,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",183.81,71.26
310,26,2021,"ORES, SLAG AND ASH.",59.37,38.27
311,27,2021,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",912.89,336.47
312,28,2021,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",955.95,44.35
313,29,2021,ORGANIC CHEMICALS,12497.98,39.26
314,30,2021,PHARMACEUTICAL PRODUCTS,212.45,2.36
315,31,2021,FERTILISERS.,2953.45,90.39
316,32,2021,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",932.36,61.13
317,33,2021,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",189.03,22.11
318,34,2021,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",137.9,21.52
319,35,2021,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,237.53,58.29
320,36,2021,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.0,-88.11
321,37,2021,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,54.43,52.51
322,38,2021,MISCELLANEOUS CHEMICAL PRODUCTS.,1675.78,20.89
323,39,2021,PLASTIC AND ARTICLES THEREOF.,4477.95,76.96
324,40,2021,RUBBER AND ARTICLES THEREOF.,283.57,45.99
325,41,2021,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,26.74,21.47
326,42,2021,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",179.14,80.47
327,43,2021,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",1.72,77.06
328,44,2021,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,136.91,33.85
329,45,2021,CORK AND ARTICLES OF CORK.,0.38,61.74
330,46,2021,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",3.37,46.53
331,47,2021,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,24.37,16.57
332,48,2021,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",474.67,39.85
333,49,2021,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",29.97,120.56
334,50,2021,SILK,52.31,20.68
335,51,2021,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",43.69,95.54
336,52,2021,COTTON.,101.54,49.42
337,53,2021,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,90.08,73.55
338,54,2021,MAN-MADE FILAMENTS.,962.97,63.64
339,55,2021,MAN-MADE STAPLE FIBRES.,432.98,13.71
340,56,2021,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",159.49,44.59
341,57,2021,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,19.29,23.38
342,58,2021,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,107.56,63.1
343,59,2021,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",514.83,67.72
344,60,2021,KNITTED OR CROCHETED FABRICS.,476.92,31.97
345,61,2021,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",186.98,34.56
346,62,2021,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",110.76,-30.25
347,63,2021,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,170.14,-25.47
348,64,2021,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",267.78,49.75
349,65,2021,HEADGEAR AND PARTS THEREOF.,19.44,7.77
350,66,2021,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",22.21,8.31
351,67,2021,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,20.52,88.7
352,68,2021,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",501.03,32.9
353,69,2021,CERAMIC PRODUCTS.,389.5,35.93
354,70,2021,GLASS AND GLASSWARE.,685.52,45.56
355,71,2021,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",236.96,113.67
356,72,2021,IRON AND STEEL,1315.51,46.92
357,73,2021,ARTICLES OF IRON OR STEEL,1665.31,26.36
358,74,2021,COPPER AND ARTICLES THEREOF.,357.29,113.2
359,75,2021,NICKEL AND ARTICLES THEREOF.,58.07,11.98
360,76,2021,ALUMINIUM AND ARTICLES THEREOF.,1023.49,39.25
361,78,2021,LEAD AND ARTICLES THEREOF.,0.81,-41.74
362,79,2021,ZINC AND ARTICLES THEREOF.,8.27,46.12
363,80,2021,TIN AND ARTICLES THEREOF.,3.97,25.3
364,81,2021,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,373.78,115.19
365,82,2021,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",488.16,27.51
366,83,2021,MISCELLANEOUS ARTICLES OF BASE METAL.,508.6,55.65
367,84,2021,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",19845.5,41.88
368,85,2021,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",30266.99,48.89
369,86,2021,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",161.48,-10.53
370,87,2021,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",1689.42,22.81
371,88,2021,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",3.05,-16.58
372,89,2021,"SHIPS, BOATS AND FLOATING STRUCTURES.",84.68,1.69
373,90,2021,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2519.22,45.41
374,91,2021,CLOCKS AND WATCHES AND PARTS THEREOF.,55.19,79.67
375,92,2021,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,32.85,8.73
376,93,2021,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.0,-97.88
377,94,2021,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",717.31,21.59
378,95,2021,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",246.75,-14.83
379,96,2021,MISCELLANEOUS MANUFACTURED ARTICLES.,368.66,18.49
380,97,2021,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.7,-85.06
381,98,2021,PROJECT GOODS; SOME SPECIAL USES.,201.26,-42.51
382,99,2021,MISCELLANEOUS GOODS.,0.12,49.58
383,01,2022,LIVE ANIMALS.,0.06,9123.98
384,03,2022,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",11.92,3.81
385,05,2022,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",8.45,6.39
386,06,2022,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,9.25,3.39
387,07,2022,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,9.24,-64.93
388,08,2022,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,14.24,40.35
389,09,2022,"COFFEE, TEA, MATE AND SPICES.",9.39,-34.19
390,10,2022,CEREALS.,0.02,
391,11,2022,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,17.35,-10.18
392,12,2022,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",32.23,286.49
393,13,2022,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",40.54,39.74
394,14,2022,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,60.94,9.08
395,15,2022,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,9.04,-38.73
396,16,2022,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.85,13.58
397,17,2022,SUGARS AND SUGAR CONFECTIONERY.,8.33,14.52
398,18,2022,COCOA AND COCOA PREPARATIONS.,1.08,-11.37
399,19,2022,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",0.97,7.61
400,20,2022,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",19.78,-26.12
401,21,2022,MISCELLANEOUS EDIBLE PREPARATIONS.,35.76,9.04
402,22,2022,"BEVERAGES, SPIRITS AND VINEGAR.",6.24,194.88
403,23,2022,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,69.92,-9.77
404,24,2022,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,1.59,-61.72
405,25,2022,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",224.44,22.1
406,26,2022,"ORES, SLAG AND ASH.",65.86,10.92
407,27,2022,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1044.32,14.4
408,28,2022,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",1288.23,34.76
409,29,2022,ORGANIC CHEMICALS,13252.89,6.04
410,30,2022,PHARMACEUTICAL PRODUCTS,172.75,-18.69
411,31,2022,FERTILISERS.,2343.47,-20.65
412,32,2022,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",907.28,-2.69
413,33,2022,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",207.18,9.61
414,34,2022,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",157.95,14.54
415,35,2022,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,277.96,17.02
416,36,2022,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.01,4362.84
417,37,2022,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,46.46,-14.63
418,38,2022,MISCELLANEOUS CHEMICAL PRODUCTS.,1709.5,2.01
419,39,2022,PLASTIC AND ARTICLES THEREOF.,5599.69,25.05
420,40,2022,RUBBER AND ARTICLES THEREOF.,378.29,33.4
421,41,2022,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,27.37,2.33
422,42,2022,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",248.93,38.96
423,43,2022,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",1.62,-6.18
424,44,2022,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,155.65,13.69
425,45,2022,CORK AND ARTICLES OF CORK.,0.39,2.59
426,46,2022,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",3.16,-6.21
427,47,2022,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,53.23,118.45
428,48,2022,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",740.36,55.97
429,49,2022,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",48.11,60.52
430,50,2022,SILK,142.68,172.75
