,HSCode,Year,Commodity,Vol (Imports),Gowth
431,51,2022,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",57.75,32.18
432,52,2022,COTTON.,122.38,20.53
433,53,2022,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,98.78,9.66
434,54,2022,MAN-MADE FILAMENTS.,1295.31,34.51
435,55,2022,MAN-MADE STAPLE FIBRES.,478.45,10.5
436,56,2022,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",168.34,5.55
437,57,2022,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,44.32,129.75
438,58,2022,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,99.16,-7.81
439,59,2022,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",520.21,1.05
440,60,2022,KNITTED OR CROCHETED FABRICS.,528.49,10.81
441,61,2022,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",205.19,9.74
442,62,2022,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",134.44,21.38
443,63,2022,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,161.01,-5.36
444,64,2022,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",333.73,24.63
445,65,2022,HEADGEAR AND PARTS THEREOF.,28.04,44.22
446,66,2022,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",37.54,69.02
447,67,2022,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,31.09,51.5
448,68,2022,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",513.26,2.44
449,69,2022,CERAMIC PRODUCTS.,499.16,28.15
450,70,2022,GLASS AND GLASSWARE.,896.03,30.71
451,71,2022,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",761.17,221.22
452,72,2022,IRON AND STEEL,2016.5,53.29
453,73,2022,ARTICLES OF IRON OR STEEL,1870.55,12.32
454,74,2022,COPPER AND ARTICLES THEREOF.,331.67,-7.17
455,75,2022,NICKEL AND ARTICLES THEREOF.,169.63,192.12
456,76,2022,ALUMINIUM AND ARTICLES THEREOF.,1392.9,36.09
457,78,2022,LEAD AND ARTICLES THEREOF.,0.9,10.7
458,79,2022,ZINC AND ARTICLES THEREOF.,7.39,-10.59
459,80,2022,TIN AND ARTICLES THEREOF.,2.66,-32.84
460,81,2022,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,403.66,7.99
461,82,2022,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",492.96,0.98
462,83,2022,MISCELLANEOUS ARTICLES OF BASE METAL.,534.54,5.1
463,84,2022,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",21137.23,6.51
464,85,2022,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",27603.4,-8.8
465,86,2022,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",258.5,60.08
466,87,2022,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",1775.03,5.07
467,88,2022,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",7.16,134.34
468,89,2022,"SHIPS, BOATS AND FLOATING STRUCTURES.",62.37,-26.35
469,90,2022,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2210.7,-12.25
470,91,2022,CLOCKS AND WATCHES AND PARTS THEREOF.,57.54,4.25
471,92,2022,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,33.0,0.45
472,93,2022,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.38,33424.28
473,94,2022,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",752.89,4.96
474,95,2022,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",234.85,-4.82
475,96,2022,MISCELLANEOUS MANUFACTURED ARTICLES.,436.58,18.42
476,97,2022,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,2.42,245.5
477,98,2022,PROJECT GOODS; SOME SPECIAL USES.,231.46,15.01
478,99,2022,MISCELLANEOUS GOODS.,0.06,-44.19
479,01,2023,LIVE ANIMALS.,0.07,17.13
480,03,2023,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",6.52,-45.35
481,05,2023,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",7.38,-12.65
482,06,2023,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,9.4,1.68
483,07,2023,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,34.47,273.06
484,08,2023,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,28.37,99.28
485,09,2023,"COFFEE, TEA, MATE AND SPICES.",84.91,804.64
486,10,2023,CEREALS.,0.0,-99.54
487,11,2023,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,20.3,17.02
488,12,2023,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",14.1,-56.25
489,13,2023,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",44.71,10.28
490,14,2023,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,58.77,-3.56
491,15,2023,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,17.65,95.23
492,16,2023,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.53,-37.96
493,17,2023,SUGARS AND SUGAR CONFECTIONERY.,9.36,12.31
494,18,2023,COCOA AND COCOA PREPARATIONS.,0.72,-33.9
495,19,2023,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.2,22.8
496,20,2023,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",14.65,-25.95
497,21,2023,MISCELLANEOUS EDIBLE PREPARATIONS.,39.33,10.0
498,22,2023,"BEVERAGES, SPIRITS AND VINEGAR.",3.91,-37.28
499,23,2023,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,76.22,9.01
500,24,2023,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.18,-88.45
501,25,2023,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",223.53,-0.41
502,26,2023,"ORES, SLAG AND ASH.",78.34,18.96
503,27,2023,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",543.02,-48.0
504,28,2023,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",1123.72,-12.77
505,29,2023,ORGANIC CHEMICALS,11498.21,-13.24
506,30,2023,PHARMACEUTICAL PRODUCTS,176.27,2.04
507,31,2023,FERTILISERS.,2253.23,-3.85
508,32,2023,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",938.49,3.44
509,33,2023,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",256.04,23.58
510,34,2023,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",150.01,-5.03
511,35,2023,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,277.78,-0.07
512,36,2023,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.4,2716.51
513,37,2023,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,48.15,3.62
514,38,2023,MISCELLANEOUS CHEMICAL PRODUCTS.,1509.16,-11.72
515,39,2023,PLASTIC AND ARTICLES THEREOF.,5666.97,1.2
516,40,2023,RUBBER AND ARTICLES THEREOF.,448.17,18.47
517,41,2023,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,27.88,1.86
518,42,2023,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",261.61,5.09
519,43,2023,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",1.79,10.62
520,44,2023,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,164.27,5.53
521,45,2023,CORK AND ARTICLES OF CORK.,0.81,108.47
522,46,2023,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",3.39,7.17
523,47,2023,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,21.14,-60.29
524,48,2023,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",720.96,-2.62
525,49,2023,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",37.93,-21.16
526,50,2023,SILK,94.02,-34.1
527,51,2023,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",62.77,8.7
528,52,2023,COTTON.,91.49,-25.24
529,53,2023,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,118.11,19.57
530,54,2023,MAN-MADE FILAMENTS.,1202.94,-7.13
531,55,2023,MAN-MADE STAPLE FIBRES.,320.94,-32.92
532,56,2023,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",157.22,-6.61
533,57,2023,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,49.06,10.72
534,58,2023,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,102.33,3.19
535,59,2023,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",464.46,-10.72
536,60,2023,KNITTED OR CROCHETED FABRICS.,565.21,6.95
537,61,2023,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",162.04,-21.03
538,62,2023,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",102.44,-23.8
539,63,2023,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,181.98,13.02
540,64,2023,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",241.55,-27.62
541,65,2023,HEADGEAR AND PARTS THEREOF.,28.98,3.36
542,66,2023,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",48.12,28.17
543,67,2023,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,34.39,10.61
544,68,2023,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",502.95,-2.01
545,69,2023,CERAMIC PRODUCTS.,496.7,-0.49
546,70,2023,GLASS AND GLASSWARE.,1033.76,15.37
547,71,2023,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",219.66,-71.14
548,72,2023,IRON AND STEEL,2655.81,31.7
549,73,2023,ARTICLES OF IRON OR STEEL,1992.9,6.54
550,74,2023,COPPER AND ARTICLES THEREOF.,394.84,19.05
551,75,2023,NICKEL AND ARTICLES THEREOF.,240.18,41.6
552,76,2023,ALUMINIUM AND ARTICLES THEREOF.,1473.81,5.81
553,78,2023,LEAD AND ARTICLES THEREOF.,4.12,357.67
554,79,2023,ZINC AND ARTICLES THEREOF.,6.62,-10.45
555,80,2023,TIN AND ARTICLES THEREOF.,5.51,106.83
556,81,2023,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,357.71,-11.38
557,82,2023,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",555.43,12.67
558,83,2023,MISCELLANEOUS ARTICLES OF BASE METAL.,564.48,5.6
559,84,2023,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",22472.16,6.32
560,85,2023,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",31355.6,13.59
561,86,2023,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",489.05,89.19
562,87,2023,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",1765.67,-0.53
563,88,2023,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",15.39,115.02
564,89,2023,"SHIPS, BOATS AND FLOATING STRUCTURES.",62.48,0.18
565,90,2023,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2404.73,8.78
566,91,2023,CLOCKS AND WATCHES AND PARTS THEREOF.,82.66,43.67
567,92,2023,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,32.88,-0.35
568,93,2023,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.34,-10.4
569,94,2023,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",769.95,2.27
570,95,2023,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",259.93,10.68
571,96,2023,MISCELLANEOUS MANUFACTURED ARTICLES.,440.25,0.84
572,97,2023,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,2.58,6.56
573,98,2023,PROJECT GOODS; SOME SPECIAL USES.,145.45,-37.16
574,99,2023,MISCELLANEOUS GOODS.,0.06,-6.18
575,01,2024,LIVE ANIMALS.,0.42,535.11
576,03,2024,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",3.19,-51.11
577,04,2024,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.38,
578,05,2024,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",8.03,8.7
579,06,2024,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,12.26,30.31
580,07,2024,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,32.41,-5.99
581,08,2024,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,40.63,43.2
582,09,2024,"COFFEE, TEA, MATE AND SPICES.",17.23,-79.71
583,10,2024,CEREALS.,0.06,67575.98
584,11,2024,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,17.66,-13.0
585,12,2024,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",17.35,23.03
586,13,2024,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",50.99,14.06
587,14,2024,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,70.24,19.52
588,15,2024,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,14.93,-15.43
589,16,2024,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.57,8.11
590,17,2024,SUGARS AND SUGAR CONFECTIONERY.,9.25,-1.13
591,18,2024,COCOA AND COCOA PREPARATIONS.,1.96,172.87
592,19,2024,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.18,-1.66
593,20,2024,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",19.34,31.99
594,21,2024,MISCELLANEOUS EDIBLE PREPARATIONS.,57.34,45.77
595,22,2024,"BEVERAGES, SPIRITS AND VINEGAR.",4.26,8.71
596,23,2024,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,92.61,21.51
597,24,2024,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.24,28.6
598,25,2024,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",252.69,13.05
599,26,2024,"ORES, SLAG AND ASH.",123.22,57.29
600,27,2024,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",406.75,-25.09
601,28,2024,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",1274.46,13.41
602,29,2024,ORGANIC CHEMICALS,11475.88,-0.19
603,30,2024,PHARMACEUTICAL PRODUCTS,192.18,9.03
604,31,2024,FERTILISERS.,875.84,-61.13
605,32,2024,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",1195.52,27.39
606,33,2024,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",232.5,-9.19
607,34,2024,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",161.92,7.94
608,35,2024,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,324.4,16.78
609,36,2024,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2.73,575.41
610,37,2024,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,54.46,13.12
611,38,2024,MISCELLANEOUS CHEMICAL PRODUCTS.,1573.3,4.25
612,39,2024,PLASTIC AND ARTICLES THEREOF.,6335.27,11.79
613,40,2024,RUBBER AND ARTICLES THEREOF.,452.27,0.91
614,41,2024,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,38.94,39.69
615,42,2024,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",285.93,9.3
616,43,2024,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2.11,17.96
617,44,2024,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,174.77,6.4
618,45,2024,CORK AND ARTICLES OF CORK.,1.72,111.52
619,46,2024,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",4.01,18.2
620,47,2024,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,28.4,34.34
621,48,2024,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",879.35,21.97
622,49,2024,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",30.32,-20.06
623,50,2024,SILK,68.21,-27.45
624,51,2024,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",58.18,-7.31
625,52,2024,COTTON.,99.56,8.83
626,53,2024,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,119.51,1.18
627,54,2024,MAN-MADE FILAMENTS.,1002.48,-16.66
628,55,2024,MAN-MADE STAPLE FIBRES.,257.83,-19.66
629,56,2024,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",179.7,14.3
630,57,2024,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,59.09,20.42
631,58,2024,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,124.5,21.67
632,59,2024,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",466.16,0.37
633,60,2024,KNITTED OR CROCHETED FABRICS.,699.95,23.84
634,61,2024,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",199.29,22.99
635,62,2024,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",115.06,12.31
636,63,2024,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,193.01,6.06
637,64,2024,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",205.2,-15.05
638,65,2024,HEADGEAR AND PARTS THEREOF.,25.45,-12.18
639,66,2024,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",49.04,1.91
640,67,2024,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,31.45,-8.54
641,68,2024,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",529.17,5.21
642,69,2024,CERAMIC PRODUCTS.,521.24,4.94
643,70,2024,GLASS AND GLASSWARE.,1303.87,26.13
644,71,2024,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",219.13,-0.24
