,Country,Year,Value(Exports),Share,Growth
1425,VIETNAM SOC REP,2025,5428.92,1.2403,-0.75
1426,VIRGIN IS US,2025,4.73,0.0011,-18.79
1427,YEMEN REPUBLC,2025,855.7,0.1955,-2.31
1428,ZAMBIA,2025,212.56,0.0486,-13.0
1429,ZIMBABWE,2025,149.31,0.0341,-2.01
1430,AFGHANISTAN,2019,715.44,0.2168,0.8
1431,ALBANIA,2019,37.08,0.0112,26.39
1432,ALGERIA,2019,940.27,0.2849,14.22
1433,AMERI SAMOA,2019,0.03,0.0,-91.64
1434,ANDORRA,2019,0.33,0.0001,-92.97
1435,ANGOLA,2019,282.36,0.0855,20.2
1436,ANGUILLA,2019,0.16,0.0,-68.84
1437,ANTARTICA,2019,0.0,0.0,-96.81
1438,ANTIGUA,2019,2.71,0.0008,24.92
1439,ARGENTINA,2019,562.93,0.1705,-20.57
1440,ARMENIA,2019,25.94,0.0079,-22.02
1441,ARUBA,2019,9.63,0.0029,49.6
1442,AUSTRALIA,2019,3520.44,1.0665,-12.26
1443,AUSTRIA,2019,483.16,0.1464,5.03
1444,AZERBAIJAN,2019,43.46,0.0132,29.05
1445,BAHAMAS,2019,6.06,0.0018,-25.0
1446,BAHARAIN IS,2019,742.14,0.2248,33.28
1447,BANGLADESH PR,2019,9210.06,2.7903,6.92
1448,BARBADOS,2019,12.43,0.0038,-2.45
1449,BELARUS,2019,55.71,0.0169,17.09
1450,BELGIUM,2019,6729.93,2.0389,8.43
1451,BELIZE,2019,16.98,0.0051,26.03
1452,BENIN,2019,426.9,0.1293,-11.01
1453,BERMUDA,2019,3.15,0.001,1.15
1454,BHUTAN,2019,657.33,0.1991,20.36
1455,BOLIVIA,2019,104.71,0.0317,-0.45
1456,BOSNIA-HRZGOVIN,2019,17.08,0.0052,11.11
1457,BOTSWANA,2019,178.31,0.054,64.22
1458,BR VIRGN IS,2019,10.69,0.0032,1304.27
1459,BRAZIL,2019,3800.49,1.1514,24.06
1460,BRUNEI,2019,56.19,0.017,-11.07
1461,BULGARIA,2019,212.43,0.0644,22.62
1462,BURKINA FASO,2019,181.44,0.055,22.3
1463,BURUNDI,2019,48.35,0.0146,26.95
1464,C AFRI REP,2019,26.8,0.0081,-10.45
1465,CAMBODIA,2019,195.98,0.0594,61.42
1466,CAMEROON,2019,178.25,0.054,-8.09
1467,CANADA,2019,2851.42,0.8639,13.78
1468,CAPE VERDE IS,2019,1.6,0.0005,7.9
1469,CAYMAN IS,2019,4.37,0.0013,8.6
1470,CHAD,2019,37.46,0.0113,37.3
1471,CHILE,2019,989.8,0.2999,29.63
1472,CHINA P RP,2019,16752.2,5.0752,25.64
1473,COLOMBIA,2019,1116.85,0.3384,18.92
1474,COMOROS,2019,19.29,0.0058,-34.89
1475,CONGO D. REP.,2019,302.94,0.0918,34.6
1476,CONGO P REP,2019,132.88,0.0403,13.88
1477,COOK IS,2019,0.27,0.0001,48.76
1478,COSTA RICA,2019,136.15,0.0412,1.94
1479,COTE D' IVOIRE,2019,448.64,0.1359,-12.33
1480,CROATIA,2019,153.79,0.0466,-8.82
1481,CUBA,2019,35.0,0.0106,-16.27
1482,CURACAO,2019,0.0,,
1483,CYPRUS,2019,70.65,0.0214,-29.29
1484,CZECH REPUBLIC,2019,429.13,0.13,5.86
1485,DENMARK,2019,746.59,0.2262,-4.78
1486,DJIBOUTI,2019,790.66,0.2395,110.02
1487,DOMINIC REP,2019,215.81,0.0654,9.6
1488,DOMINICA,2019,1.3,0.0004,-38.46
1489,ECUADOR,2019,297.96,0.0903,6.49
1490,EGYPT A RP,2019,2886.39,0.8745,20.65
1491,EL SALVADOR,2019,78.66,0.0238,13.27
1492,EQUTL GUINEA,2019,11.89,0.0036,10.4
1493,ERITREA,2019,9.03,0.0027,21.57
1494,ESTONIA,2019,64.32,0.0195,-19.93
1495,ETHIOPIA,2019,766.03,0.2321,12.01
1496,FALKLAND IS,2019,0.0,0.0,
1497,FAROE IS.,2019,2.96,0.0009,888.17
1498,FIJI IS,2019,60.8,0.0184,12.08
1499,FINLAND,2019,256.12,0.0776,-9.35
1500,FR GUIANA,2019,1.9,0.0006,-13.16
1501,FR POLYNESIA,2019,5.5,0.0017,-13.46
1502,FRANCE,2019,5232.57,1.5853,6.78
1503,GABON,2019,55.17,0.0167,22.39
1504,GAMBIA,2019,156.61,0.0474,30.26
1505,GEORGIA,2019,110.4,0.0334,42.88
1506,GERMANY,2019,8902.43,2.6971,2.47
1507,GHANA,2019,717.33,0.2173,12.83
1508,GIBRALTAR,2019,575.13,0.1742,97.86
1509,GREECE,2019,503.37,0.1525,16.02
1510,GREENLAND,2019,0.0,0.0,-56.21
1511,GRENADA,2019,3.77,0.0011,42.95
1512,GUADELOUPE,2019,3.42,0.001,-36.05
1513,GUAM,2019,0.66,0.0002,-25.51
1514,GUATEMALA,2019,305.37,0.0925,4.6
1515,GUERNSEY,2019,0.0,0.0,-99.97
1516,GUINEA,2019,404.84,0.1227,7.12
1517,GUINEA BISSAU,2019,10.76,0.0033,0.71
1518,GUYANA,2019,29.66,0.009,13.95
1519,HAITI,2019,79.35,0.024,-15.59
1520,HEARD MACDONALD,2019,0.03,0.0,-25.33
1521,HONDURAS,2019,166.72,0.0505,14.06
1522,HONG KONG,2019,13001.99,3.9391,-11.49
1523,HUNGARY,2019,458.08,0.1388,13.75
1524,ICELAND,2019,30.79,0.0093,422.15
1525,INDONESIA,2019,5275.6,1.5983,33.1
1526,INSTALLATIONS IN INTERNATIONAL WATERS,2019,0.0,,
1527,IRAN,2019,3511.01,1.0637,32.37
1528,IRAQ,2019,1788.66,0.5419,22.32
1529,IRELAND,2019,530.56,0.1607,-1.03
1530,ISRAEL,2019,3717.98,1.1264,10.52
1531,ITALY,2019,5593.42,1.6946,-2.04
1532,JAMAICA,2019,55.42,0.0168,6.09
1533,JAPAN,2019,4861.73,1.4729,2.69
1534,JERSEY,2019,0.0,,
1535,JORDAN,2019,578.81,0.1754,7.03
1536,KAZAKHSTAN,2019,143.13,0.0434,14.16
1537,KENYA,2019,2071.84,0.6277,4.93
1538,KIRIBATI REP,2019,0.37,0.0001,-32.91
1539,KOREA DP RP,2019,26.99,0.0082,-53.11
1540,KOREA RP,2019,4705.07,1.4254,5.47
1541,KUWAIT,2019,1333.92,0.4041,-2.32
1542,KYRGHYZSTAN,2019,30.02,0.0091,5.01
1543,LAO PD RP,2019,39.38,0.0119,57.49
1544,LATVIA,2019,115.52,0.035,2.94
1545,LEBANON,2019,268.67,0.0814,4.5
1546,LESOTHO,2019,30.46,0.0092,-3.58
1547,LIBERIA,2019,178.81,0.0542,-30.55
1548,LIBYA,2019,156.76,0.0475,28.53
1549,LIECHTENSTEIN,2019,3.4,0.001,21.5
1550,LITHUANIA,2019,127.38,0.0386,22.66
1551,LUXEMBOURG,2019,30.07,0.0091,163.98
1552,MACAO,2019,1.06,0.0003,-92.4
1553,MACEDONIA,2019,19.54,0.0059,12.45
1554,MADAGASCAR,2019,196.38,0.0595,-13.91
1555,MALAWI,2019,201.55,0.0611,0.98
1556,MALAYSIA,2019,6436.3,1.9499,12.89
1557,MALDIVES,2019,223.02,0.0676,2.77
1558,MALI,2019,130.69,0.0396,5.73
1559,MALTA,2019,229.52,0.0695,17.18
1560,MARSHALL ISLAND,2019,0.32,0.0001,-97.71
1561,MARTINIQUE,2019,3.58,0.0011,-19.2
1562,MAURITANIA,2019,115.59,0.035,39.0
1563,MAURITIUS,2019,1160.78,0.3517,7.76
1564,MAYOTTE,2019,2.79,0.0008,3623.24
1565,MEXICO,2019,3841.57,1.1638,1.55
1566,MICRONESIA,2019,0.34,0.0001,13.53
1567,MOLDOVA,2019,8.63,0.0026,20.8
1568,MONACO,2019,2.55,0.0008,31.27
1569,MONGOLIA,2019,22.81,0.0069,11.32
1570,MONTENEGRO,2019,38.93,0.0118,-24.56
1571,MONTSERRAT,2019,0.06,0.0,149.11
1572,MOROCCO,2019,680.06,0.206,57.3
1573,MOZAMBIQUE,2019,1073.31,0.3252,19.18
1574,MYANMAR,2019,1205.6,0.3652,24.78
1575,N. MARIANA IS.,2019,0.27,0.0001,566.4
1576,NAMIBIA,2019,82.37,0.025,87.78
1577,NAURU RP,2019,0.53,0.0002,-61.33
1578,NEPAL,2019,7766.2,2.3528,17.44
1579,NETHERLAND,2019,8812.84,2.6699,40.75
1580,NETHERLANDANTIL,2019,30.58,0.0093,-20.76
1581,NEW CALEDONIA,2019,8.83,0.0027,-13.89
1582,NEW ZEALAND,2019,379.87,0.1151,7.66
1583,NICARAGUA,2019,53.87,0.0163,-38.3
1584,NIGER,2019,94.84,0.0287,-21.11
1585,NIGERIA,2019,3005.21,0.9105,33.27
1586,NORFOLK IS,2019,0.19,0.0001,-50.17
1587,NORWAY,2019,313.05,0.0948,-13.04
1588,OMAN,2019,2246.31,0.6805,-7.92
1589,PAKISTAN IR,2019,2066.56,0.6261,7.39
1590,PALAU,2019,0.09,0.0,34.25
1591,PANAMA C Z,2019,0.0,,
1592,PANAMA REPUBLIC,2019,227.26,0.0688,0.09
1593,PAPUA N GNA,2019,49.72,0.0151,18.59
1594,PARAGUAY,2019,160.71,0.0487,-4.59
1595,PERU,2019,721.03,0.2184,-5.21
1596,PHILIPPINES,2019,1743.64,0.5282,3.0
1597,PITCAIRN IS.,2019,0.01,0.0,113.01
1598,POLAND,2019,1572.8,0.4765,2.04
1599,PORTUGAL,2019,743.27,0.2252,-0.54
1600,PUERTO RICO,2019,138.42,0.0419,77.35
1601,QATAR,2019,1611.16,0.4881,9.46
1602,REUNION,2019,47.23,0.0143,1.87
1603,ROMANIA,2019,430.3,0.1304,7.87
1604,RUSSIA,2019,2389.47,0.7239,13.06
1605,RWANDA,2019,144.9,0.0439,59.94
1606,SAHARWI A.DM RP,2019,0.0,0.0,-80.18
1607,SAMOA,2019,2.59,0.0008,7.87
1608,SAN MARINO,2019,0.15,0.0,9.03
1609,SAO TOME,2019,1.18,0.0004,33.11
1610,SAUDI ARAB,2019,5561.72,1.685,2.79
1611,SENEGAL,2019,639.24,0.1937,-11.72
1612,SERBIA,2019,72.33,0.0219,22.54
1613,SEYCHELLES,2019,84.49,0.0256,100.86
1614,SIERRA LEONE,2019,112.27,0.034,20.07
1615,SINGAPORE,2019,11572.27,3.5059,13.42
1616,SINT MAARTEN (DUTCH PART),2019,0.0,,
1617,SLOVAK REP,2019,145.96,0.0442,-4.26
1618,SLOVENIA,2019,314.05,0.0951,10.53
1619,SOLOMON IS,2019,2.57,0.0008,100.61
1620,SOMALIA,2019,537.25,0.1628,17.94
1621,SOUTH AFRICA,2019,4067.2,1.2322,6.33
1622,SOUTH SUDAN,2019,10.53,0.0032,197.52
1623,SPAIN,2019,4182.49,1.2671,4.69
1624,SRI LANKA DSR,2019,4710.21,1.427,5.22
1625,ST HELENA,2019,0.02,0.0,188.24
1626,ST KITT N A,2019,2.37,0.0007,-17.49
1627,ST LUCIA,2019,4.01,0.0012,-1.26
1628,ST PIERRE,2019,0.01,0.0,29.9
1629,ST VINCENT,2019,0.73,0.0002,6.78
1630,STATE OF PALEST,2019,1.49,0.0005,9776.73
1631,SUDAN,2019,920.88,0.279,11.93
1632,SURINAME,2019,22.58,0.0068,29.87
1633,SWAZILAND,2019,19.2,0.0058,-41.31
1634,SWEDEN,2019,792.23,0.24,2.69
1635,SWITZERLAND,2019,1186.69,0.3595,9.49
1636,SYRIA,2019,154.59,0.0468,0.83
1637,TAIWAN,2019,2607.21,0.7899,20.89
1638,TAJIKISTAN,2019,22.28,0.0068,-6.95
1639,TANZANIA REP,2019,1704.04,0.5163,5.27
1640,THAILAND,2019,4441.4,1.3456,21.55
1641,TIMOR LESTE,2019,5.26,0.0016,58.62
1642,TOGO,2019,694.09,0.2103,69.84
1643,TOKELAU IS,2019,0.0,0.0,
1644,TONGA,2019,0.35,0.0001,-72.43
1645,TRINIDAD,2019,83.75,0.0254,-5.57
1646,TUNISIA,2019,304.21,0.0922,7.96
1647,TURKEY,2019,5452.45,1.6519,7.11
1648,TURKMENISTAN,2019,45.64,0.0138,-15.96
1649,TURKS C IS,2019,0.26,0.0001,-76.97
1650,TUVALU,2019,0.0,0.0,-96.92
1651,U ARAB EMTS,2019,30126.73,9.1272,7.04
1652,U K,2019,9309.29,2.8203,-3.94
1653,U S A,2019,52406.27,15.8769,9.46
1654,UGANDA,2019,580.08,0.1757,8.98
1655,UKRAINE,2019,390.8,0.1184,18.39
1656,UNION OF SERBIA & MONTENEGRO,2019,0.0,,
1657,UNSPECIFIED,2019,2907.22,0.8808,19.65
1658,URUGUAY,2019,180.99,0.0548,13.51
1659,US MINOR OUTLYING ISLANDS,2019,0.69,0.0002,31.75
1660,UZBEKISTAN,2019,201.41,0.061,51.76
1661,VANUATU REP,2019,1.97,0.0006,-13.2
1662,VATICAN CITY,2019,0.03,0.0,-76.24
1663,VENEZUELA,2019,164.77,0.0499,108.03
1664,VIETNAM SOC REP,2019,6507.38,1.9715,-16.71
1665,VIRGIN IS US,2019,42.5,0.0129,1376.37
1666,WALLIS F IS,2019,0.0,,
1667,YEMEN REPUBLC,2019,741.32,0.2246,31.56
1668,ZAMBIA,2019,319.05,0.0967,8.42
1669,ZIMBABWE,2019,181.72,0.0551,11.12
1670,AFGHANISTAN,2018,709.75,0.2338,NA
1671,ALBANIA,2018,29.34,0.0097,NA
1672,ALGERIA,2018,823.23,0.2712,NA
1673,AMERI SAMOA,2018,0.31,0.0001,NA
1674,ANDORRA,2018,4.75,0.0016,NA
1675,ANGOLA,2018,234.92,0.0774,NA
1676,ANGUILLA,2018,0.5,0.0002,NA
1677,ANTARTICA,2018,0.1,0.0,NA
1678,ANTIGUA,2018,2.17,0.0007,NA
1679,ARGENTINA,2018,708.71,0.2335,NA
1680,ARMENIA,2018,33.27,0.011,NA
1681,ARUBA,2018,6.44,0.0021,NA
1682,AUSTRALIA,2018,4012.32,1.3219,NA
1683,AUSTRIA,2018,460.03,0.1516,NA
1684,AZERBAIJAN,2018,33.68,0.0111,NA
1685,BAHAMAS,2018,8.07,0.0027,NA
1686,BAHARAIN IS,2018,556.82,0.1835,NA
1687,BANGLADESH PR,2018,8614.35,2.8381,NA
1688,BARBADOS,2018,12.74,0.0042,NA
1689,BELARUS,2018,47.58,0.0157,NA
1690,BELGIUM,2018,6206.88,2.0449,NA
1691,BELIZE,2018,13.48,0.0044,NA
1692,BENIN,2018,479.72,0.1581,NA
1693,BERMUDA,2018,3.12,0.001,NA
1694,BHUTAN,2018,546.12,0.1799,NA
1695,BOLIVIA,2018,105.19,0.0347,NA
1696,BOSNIA-HRZGOVIN,2018,15.37,0.0051,NA
1697,BOTSWANA,2018,108.58,0.0358,NA
1698,BR VIRGN IS,2018,0.76,0.0003,NA
1699,BRAZIL,2018,3063.49,1.0093,NA
1700,BRUNEI,2018,63.19,0.0208,NA
1701,BULGARIA,2018,173.24,0.0571,NA
1702,BURKINA FASO,2018,148.35,0.0489,NA
1703,BURUNDI,2018,38.09,0.0125,NA
1704,C AFRI REP,2018,29.92,0.0099,NA
1705,CAMBODIA,2018,121.41,0.04,NA
1706,CAMEROON,2018,193.94,0.0639,NA
1707,CANADA,2018,2506.15,0.8257,NA
1708,CAPE VERDE IS,2018,1.48,0.0005,NA
1709,CAYMAN IS,2018,4.02,0.0013,NA
1710,CHAD,2018,27.29,0.009,NA
1711,CHILE,2018,763.56,0.2516,NA
1712,CHINA P RP,2018,13333.53,4.3929,NA
1713,COLOMBIA,2018,939.14,0.3094,NA
1714,COMOROS,2018,29.62,0.0098,NA
1715,CONGO D. REP.,2018,225.07,0.0742,NA
1716,CONGO P REP,2018,116.69,0.0384,NA
1717,COOK IS,2018,0.18,0.0001,NA
1718,COSTA RICA,2018,133.57,0.044,NA
1719,COTE D' IVOIRE,2018,511.75,0.1686,NA
1720,CROATIA,2018,168.68,0.0556,NA
1721,CUBA,2018,41.8,0.0138,NA
1722,CURACAO,2018,0.0,0.0,NA
1723,CYPRUS,2018,99.91,0.0329,NA
1724,CZECH REPUBLIC,2018,405.36,0.1335,NA
1725,DENMARK,2018,784.1,0.2583,NA
1726,DJIBOUTI,2018,376.46,0.124,NA
1727,DOMINIC REP,2018,196.92,0.0649,NA
1728,DOMINICA,2018,2.1,0.0007,NA
1729,ECUADOR,2018,279.8,0.0922,NA
1730,EGYPT A RP,2018,2392.34,0.7882,NA
1731,EL SALVADOR,2018,69.45,0.0229,NA
1732,EQUTL GUINEA,2018,10.77,0.0035,NA
1733,ERITREA,2018,7.43,0.0024,NA
1734,ESTONIA,2018,80.33,0.0265,NA
1735,ETHIOPIA,2018,683.88,0.2253,NA
1736,FALKLAND IS,2018,0.0,,NA
1737,FAROE IS.,2018,0.3,0.0001,NA
1738,FIJI IS,2018,54.24,0.0179,NA
1739,FINLAND,2018,282.55,0.0931,NA
1740,FR GUIANA,2018,2.18,0.0007,NA
1741,FR POLYNESIA,2018,6.36,0.0021,NA
1742,FRANCE,2018,4900.27,1.6144,NA
1743,GABON,2018,45.08,0.0149,NA
1744,GAMBIA,2018,120.23,0.0396,NA
1745,GEORGIA,2018,77.27,0.0255,NA
1746,GERMANY,2018,8687.8,2.8623,NA
1747,GHANA,2018,635.78,0.2095,NA
1748,GIBRALTAR,2018,290.68,0.0958,NA
1749,GREECE,2018,433.87,0.1429,NA
1750,GREENLAND,2018,0.01,0.0,NA
1751,GRENADA,2018,2.64,0.0009,NA
1752,GUADELOUPE,2018,5.35,0.0018,NA
1753,GUAM,2018,0.88,0.0003,NA
1754,GUATEMALA,2018,291.93,0.0962,NA
1755,GUERNSEY,2018,0.03,0.0,NA
1756,GUINEA,2018,377.94,0.1245,NA
1757,GUINEA BISSAU,2018,10.68,0.0035,NA
1758,GUYANA,2018,26.03,0.0086,NA
1759,HAITI,2018,94.01,0.031,NA
1760,HEARD MACDONALD,2018,0.04,0.0,NA
1761,HONDURAS,2018,146.17,0.0482,NA
1762,HONG KONG,2018,14690.27,4.8399,NA
1763,HUNGARY,2018,402.69,0.1327,NA
1764,ICELAND,2018,5.9,0.0019,NA
1765,INDONESIA,2018,3963.77,1.3059,NA
1766,INSTALLATIONS IN INTERNATIONAL WATERS,2018,34.78,0.0115,NA
1767,IRAN,2018,2652.37,0.8739,NA
1768,IRAQ,2018,1462.23,0.4817,NA
1769,IRELAND,2018,536.08,0.1766,NA
1770,ISRAEL,2018,3364.05,1.1083,NA
1771,ITALY,2018,5709.85,1.8812,NA
1772,JAMAICA,2018,52.24,0.0172,NA
1773,JAPAN,2018,4734.22,1.5597,NA
1774,JERSEY,2018,0.0,0.0,NA
1775,JORDAN,2018,540.82,0.1782,NA
1776,KAZAKHSTAN,2018,125.37,0.0413,NA
1777,KENYA,2018,1974.57,0.6505,NA
1778,KIRIBATI REP,2018,0.55,0.0002,NA
1779,KOREA DP RP,2018,57.55,0.019,NA
1780,KOREA RP,2018,4460.98,1.4697,NA
1781,KUWAIT,2018,1365.66,0.4499,NA
1782,KYRGHYZSTAN,2018,28.59,0.0094,NA
1783,LAO PD RP,2018,25.0,0.0082,NA
1784,LATVIA,2018,112.22,0.037,NA
1785,LEBANON,2018,257.1,0.0847,NA
1786,LESOTHO,2018,31.59,0.0104,NA
1787,LIBERIA,2018,257.46,0.0848,NA
1788,LIBYA,2018,121.96,0.0402,NA
1789,LIECHTENSTEIN,2018,2.8,0.0009,NA
1790,LITHUANIA,2018,103.84,0.0342,NA
1791,LUXEMBOURG,2018,11.39,0.0038,NA
1792,MACAO,2018,13.89,0.0046,NA
1793,MACEDONIA,2018,17.38,0.0057,NA
1794,MADAGASCAR,2018,228.11,0.0752,NA
1795,MALAWI,2018,199.6,0.0658,NA
1796,MALAYSIA,2018,5701.56,1.8784,NA
1797,MALDIVES,2018,217.0,0.0715,NA
1798,MALI,2018,123.6,0.0407,NA
1799,MALTA,2018,195.86,0.0645,NA
1800,MARSHALL ISLAND,2018,14.0,0.0046,NA
1801,MARTINIQUE,2018,4.42,0.0015,NA
1802,MAURITANIA,2018,83.16,0.0274,NA
1803,MAURITIUS,2018,1077.15,0.3549,NA
1804,MAYOTTE,2018,0.07,0.0,NA
1805,MEXICO,2018,3782.79,1.2463,NA
1806,MICRONESIA,2018,0.3,0.0001,NA
1807,MOLDOVA,2018,7.14,0.0024,NA
1808,MONACO,2018,1.94,0.0006,NA
1809,MONGOLIA,2018,20.49,0.0067,NA
1810,MONTENEGRO,2018,51.61,0.017,NA
1811,MONTSERRAT,2018,0.02,0.0,NA
1812,MOROCCO,2018,432.32,0.1424,NA
1813,MOZAMBIQUE,2018,900.58,0.2967,NA
1814,MYANMAR,2018,966.19,0.3183,NA
1815,N. MARIANA IS.,2018,0.04,0.0,NA
1816,NAMIBIA,2018,43.87,0.0145,NA
1817,NAURU RP,2018,1.36,0.0004,NA
1818,NEPAL,2018,6612.96,2.1787,NA
1819,NETHERLAND,2018,6261.14,2.0628,NA
1820,NETHERLANDANTIL,2018,38.59,0.0127,NA
1821,NEW CALEDONIA,2018,10.25,0.0034,NA
1822,NEW ZEALAND,2018,352.85,0.1163,NA
1823,NICARAGUA,2018,87.31,0.0288,NA
1824,NIGER,2018,120.21,0.0396,NA
1825,NIGERIA,2018,2254.92,0.7429,NA
1826,NORFOLK IS,2018,0.38,0.0001,NA
1827,NORWAY,2018,359.98,0.1186,NA
1828,OMAN,2018,2439.46,0.8037,NA
1829,PAKISTAN IR,2018,1924.28,0.634,NA
1830,PALAU,2018,0.07,0.0,NA
1831,PANAMA C Z,2018,0.01,0.0,NA
1832,PANAMA REPUBLIC,2018,227.05,0.0748,NA
1833,PAPUA N GNA,2018,41.93,0.0138,NA
1834,PARAGUAY,2018,168.43,0.0555,NA
1835,PERU,2018,760.68,0.2506,NA
1836,PHILIPPINES,2018,1692.83,0.5577,NA
1837,PITCAIRN IS.,2018,0.01,0.0,NA
1838,POLAND,2018,1541.36,0.5078,NA
1839,PORTUGAL,2018,747.32,0.2462,NA
1840,PUERTO RICO,2018,78.05,0.0257,NA
1841,QATAR,2018,1471.88,0.4849,NA
1842,REUNION,2018,46.36,0.0153,NA
1843,ROMANIA,2018,398.9,0.1314,NA
1844,RUSSIA,2018,2113.39,0.6963,NA
1845,RWANDA,2018,90.6,0.0298,NA
1846,SAHARWI A.DM RP,2018,0.01,0.0,NA
1847,SAMOA,2018,2.4,0.0008,NA
1848,SAN MARINO,2018,0.14,0.0,NA
1849,SAO TOME,2018,0.89,0.0003,NA
1850,SAUDI ARAB,2018,5410.7,1.7826,NA
1851,SENEGAL,2018,724.11,0.2386,NA
1852,SERBIA,2018,59.02,0.0194,NA
1853,SEYCHELLES,2018,42.06,0.0139,NA
1854,SIERRA LEONE,2018,93.51,0.0308,NA
1855,SINGAPORE,2018,10202.82,3.3614,NA
1856,SINT MAARTEN (DUTCH PART),2018,0.01,0.0,NA
1857,SLOVAK REP,2018,152.46,0.0502,NA
1858,SLOVENIA,2018,284.13,0.0936,NA
1859,SOLOMON IS,2018,1.28,0.0004,NA
1860,SOMALIA,2018,455.52,0.1501,NA
1861,SOUTH AFRICA,2018,3825.21,1.2603,NA
1862,SOUTH SUDAN,2018,3.54,0.0012,NA
1863,SPAIN,2018,3995.11,1.3162,NA
1864,SRI LANKA DSR,2018,4476.46,1.4748,NA
1865,ST HELENA,2018,0.01,0.0,NA
1866,ST KITT N A,2018,2.87,0.0009,NA
1867,ST LUCIA,2018,4.06,0.0013,NA
1868,ST PIERRE,2018,0.01,0.0,NA
1869,ST VINCENT,2018,0.69,0.0002,NA
1870,STATE OF PALEST,2018,0.02,0.0,NA
1871,SUDAN,2018,822.72,0.2711,NA
1872,SURINAME,2018,17.38,0.0057,NA
1873,SWAZILAND,2018,32.71,0.0108,NA
1874,SWEDEN,2018,771.5,0.2542,NA
1875,SWITZERLAND,2018,1083.84,0.3571,NA
1876,SYRIA,2018,153.32,0.0505,NA
1877,TAIWAN,2018,2156.67,0.7105,NA
1878,TAJIKISTAN,2018,23.94,0.0079,NA
1879,TANZANIA REP,2018,1618.8,0.5333,NA
1880,THAILAND,2018,3653.83,1.2038,NA
1881,TIMOR LESTE,2018,3.32,0.0011,NA
1882,TOGO,2018,408.68,0.1346,NA
1883,TOKELAU IS,2018,0.0,,NA
1884,TONGA,2018,1.26,0.0004,NA
1885,TRINIDAD,2018,88.69,0.0292,NA
1886,TUNISIA,2018,281.77,0.0928,NA
1887,TURKEY,2018,5090.7,1.6772,NA
1888,TURKMENISTAN,2018,54.31,0.0179,NA
1889,TURKS C IS,2018,1.15,0.0004,NA
1890,TUVALU,2018,0.06,0.0,NA
1891,U ARAB EMTS,2018,28146.12,9.273,NA
1892,U K,2018,9691.07,3.1928,NA
1893,U S A,2018,47878.48,15.7741,NA
1894,UGANDA,2018,532.26,0.1754,NA
1895,UKRAINE,2018,330.1,0.1088,NA
1896,UNION OF SERBIA & MONTENEGRO,2018,0.0,0.0,NA
1897,UNSPECIFIED,2018,2429.68,0.8005,NA
1898,URUGUAY,2018,159.45,0.0525,NA
1899,US MINOR OUTLYING ISLANDS,2018,0.52,0.0002,NA
1900,UZBEKISTAN,2018,132.72,0.0437,NA
1901,VANUATU REP,2018,2.27,0.0007,NA
1902,VATICAN CITY,2018,0.11,0.0,NA
1903,VENEZUELA,2018,79.21,0.0261,NA
1904,VIETNAM SOC REP,2018,7813.08,2.5741,NA
1905,VIRGIN IS US,2018,2.88,0.0009,NA
1906,WALLIS F IS,2018,0.05,0.0,NA
1907,YEMEN REPUBLC,2018,563.46,0.1856,NA
1908,ZAMBIA,2018,294.29,0.097,NA
1909,ZIMBABWE,2018,163.54,0.0539,NA
